CamAngle,inHr,inMin,inSec,inFrame,outHr,outMin,outSec,outFrame,Notes
A,14,25,58,2,14,26,43,9,
D,14,10,47,19,14,10,56,13,
A,14,10,56,14,14,11,1,22,
D,14,11,1,23,14,11,5,20,
A,14,11,5,21,14,11,13,4,
D,14,11,13,5,14,11,19,5,
A,14,11,19,6,14,11,23,19,
D,14,11,23,20,14,11,32,2,
B,14,11,32,3,14,11,37,8,
D,14,11,37,9,14,11,51,15,
B,14,11,51,16,14,12,44,8,
A,14,12,44,9,14,13,13,20,
B,14,13,13,21,14,14,12,20,
A,14,14,12,21,14,18,5,18,
B,14,18,12,7,14,20,17,21,
A,14,20,17,22,14,22,3,14,
B,14,22,3,15,14,22,59,17,
A,14,22,59,18,14,25,42,15,
